FID,IZ11CD,IZ11NM
658,S02001747,Dunfermline Central
659,S02001798,Thornton and Kinglassie
660,S02001678,Corstorphine North
661,S02001878,Muirend and Old Cathcart
662,S02001748,Dunfermline Brucefield
663,S02001799,Leslie and Newcastle
664,S02001679,Corstorphine
665,S02001879,Carmunnock North
666,S02001880,Carmunnock South
667,S02001881,Glenwood South
668,S02001882,Glenwood North
669,S02001883,Castlemilk
670,S02001884,Kingspark South
671,S02001885,Kingspark North
672,S02001749,Dunfermline Garvock Hill
673,S02001800,Glenrothes Macedonia and Tanshall
674,S02001680,Carrick Knowe
675,S02001750,Dunfermline Bellyeoman and Townhill
676,S02001801,Glenrothes South Parks
677,S02001681,Corstorphine South
678,S02001751,Dunfermline Duloch North and Lynebank
679,S02001802,Glenrothes Caskieberran and Rimbleton
680,S02001682,South Gyle
681,S02001752,Dunfermline Touch and Woodmill
682,S02001803,Glenrothes Auchmuty
683,S02001683,"Ratho, Ingliston and Gogar"
684,S02001753,Dunfermline Abbeyview North
685,S02001804,Glenrothes Stenton and Finglassie
686,S02001684,"Dalmeny, Kirkliston and Newbridge"
687,S02001754,Dunfermline Abbeyview South
688,S02001805,Glenrothes Pitteuchar
689,S02001685,Queensferry East
690,S02001755,Dunfermline Duloch South
691,S02001806,Glenrothes Woodside
692,S02001756,Dunfermline Masterton
693,S02001807,Glenrothes Balgeddie and Town Park
694,S02001757,Dunfermline Pitcorthie East
695,S02001808,Glenrothes Collydean
696,S02001758,Dunfermline Pitcorthie West
697,S02001809,Glenrothes Cadham and Pitcoudie
698,S02001759,Rosyth North
699,S02001810,Glenrothes Balfarg Pitcairn and Coul
700,S02001760,Rosyth East
701,S02001811,Markinch and Star
702,S02001761,Rosyth Central
703,S02001812,Windygates and Coaltown
704,S02001762,Rosyth South
705,S02001813,"Buckhaven, Denbeath and Muiredge"
706,S02001763,North Queensferry and Inverkeithing West
707,S02001814,Methil Methilhill
708,S02001764,Inverkeithing East
709,S02001815,Methil West
710,S02001765,Dalgety Bay West and Hillend
711,S02001816,Methil East
712,S02001766,Dalgety Bay Central
713,S02001817,Leven East
714,S02001767,Dalgety Bay East
715,S02001818,Leven West
716,S02001768,Crossgates and Halbeath
717,S02001819,Leven North
718,S02001769,Hill of Beath and Kingseat
719,S02001820,Largo
720,S02001770,Cowdenbeath South
721,S02001821,Kennoway and Bonnybank
722,S02001771,Cowdenbeath North
723,S02001822,Kettle and Ladybank
724,S02001772,Kelty West
725,S02001823,Falkland and Freuchie
726,S02001773,Kelty East
727,S02001824,Auchtermuchty and Gateside
728,S02001774,Lochore and Crosshill
729,S02001825,Newburgh
730,S02001775,Ballingry
731,S02001826,Cupar West and Springfield
732,S02001776,Cardenden
733,S02001827,Cupar Central
734,S02001777,Lochgelly East
735,S02001828,Cupar East
736,S02001778,Lochgelly West and Lumphinnans
737,S02001829,Dairsie Ceres and Dunino
738,S02001779,Aberdour and Auchtertool
739,S02001830,Elie Colinsburgh and Largoward
740,S02001780,Burntisland West
741,S02001831,St Monans and Pittenweem
742,S02001781,Burntisland East
743,S02001832,Anstruther
744,S02001782,Kinghorn
745,S02001833,Crail and Boarhills
746,S02001783,Kirkcaldy Linktown & Seafield
747,S02001834,St Andrews South East
748,S02001784,Kirkcaldy Central
749,S02001835,St Andrews Central
750,S02001785,Kirkcaldy Bennochy East
751,S02001986,Nairn East
752,S02001987,Nairn West
753,S02001988,Inverness East Rural
754,S02001989,Inverness Culloden and Balloch
755,S02001990,Inverness Smithton
756,S02001991,Inverness Westhill
757,S02001992,Inverness Inshes
758,S02001993,Inverness Slackbuie
759,S02001994,Inverness Lochardil and Holm Mains
760,S02001995,Inverness Drummond
761,S02001996,Inverness Hilton
762,S02001997,Inverness Drakies
763,S02001998,"Inverness Central, Raigmore and Longman"
764,S02001999,Inverness Crown and Haugh
765,S02002000,Inverness Ballifeary and Dalneigh
766,S02002001,Inverness Muirtown
767,S02002002,Inverness Merkinch
768,S02002003,Inverness Scorguie
769,S02002004,Inverness Kinmylies and South West
770,S02002005,Inverness West Rural
771,S02002006,Loch Ness
772,S02002007,Lochalsh
773,S02002008,Skye South
774,S02002009,Skye North East
775,S02002010,Skye North West
776,S02002011,Ross and Cromarty South West
777,S02002012,Ross and Cromarty North West
778,S02002013,Ross and Cromarty Central
779,S02002014,Ross and Cromarty East
780,S02002015,Muir of Ord
781,S02002016,Conon
782,S02002017,Dingwall
783,S02002018,Black Isle South
784,S02002019,Black Isle North
785,S02002020,Alness
786,S02002021,Invergordon
787,S02002022,Seaboard
788,S02002023,Tain
789,S02002024,Sutherland South
790,S02002025,Sutherland East
791,S02002026,Caithness South
792,S02002027,Wick South
793,S02002028,Wick North
794,S02002029,Caithness North East
795,S02002030,Caithness North West
796,S02002031,Thurso East
797,S02002032,Thurso West
798,S02002033,Sutherland North and West
799,S02002034,Kilmacolm Central
800,S02002035,"Kilmacolm, Quarriers, Greenock Upper East/Central"
801,S02002336,Castlehill and Kincaidston
802,S02002337,Belmont
803,S02002338,Holmston and Forehill
804,S02002339,Ayr South Harbour and Town Centre
805,S02002340,"Ayr North Harbour, Wallacetown and Newton South"
806,S02002341,Craigie
807,S02002342,Dalmilling
808,S02002343,"Lochside, Braehead and Whitletts"
809,S02002344,Newton North
810,S02002345,Heathfield
811,S02002346,Prestwick West
812,S02002347,Prestwick East
813,S02002348,Prestwick Airport and Monkton
814,S02002349,"Annbank, Mossblown and Tarbolton - the Coalfields"
815,S02002350,"Dundonald, Loans and Symington"
816,S02002351,Muirhead
817,S02002352,Barassie
818,S02002353,Troon
819,S02002354,Clydesdale South
820,S02002355,"Biggar, Symington, Thankerton and Dolphinton"
821,S02002356,"Carstairs, Carstairs Junction and Carnwath"
822,S02002357,"Forth, Braehead and Auchengray"
823,S02002358,Law
824,S02002359,Carluke West
825,S02002360,Carluke North
826,S02002361,Carluke East
827,S02002362,Carluke South
828,S02002363,"Crossford, Braidwood and Yieldshields"
829,S02002364,Lanark North West
830,S02002365,Lanark North East
831,S02002366,Lanark South
832,S02002367,Hazelbank and Kirkfieldbank
833,S02002368,"Douglas, Coalburn and Rigside"
834,S02002369,Lesmahagow
835,S02002370,Kirkmuirhill and Blackwood
836,S02002371,Ashgill and Netherburn
837,S02002372,Merryton and Meadowhill
838,S02002373,"Larkhall Central, Raploch, Millheugh and Burnhead"
839,S02002374,Hareleeshill
840,S02002286,Bishopton
841,S02002236,North Muirton and Old Scone
842,S02002086,New Elgin West
843,S02002036,Inverkip and Wemyss Bay
844,S02002136,Netherton and Kirkhill
845,S02002375,Strutherhill
846,S02002376,Stonehouse
847,S02002377,Strathaven South
848,S02002378,Strathaven North
849,S02002379,"Chapelton, Glengavel and Sandford"
850,S02002380,"Glassford, Quarter and Allanton"
851,S02002381,Eddlewood
852,S02002382,Low Waters
853,S02002383,Silvertonhill
854,S02002384,Hamilton Centre and Low Parks
855,S02002385,Laighstonehall
856,S02002287,Linwood South
857,S02002037,"West Braeside, East Inverkip and West Gourock"
858,S02002087,Elgin Central West
859,S02002288,Linwood North
860,S02002237,Muirton
861,S02002137,Muirhouse
862,S02002038,Gourock Upper and West Central and Upper Larkfield
863,S02002088,Elgin Bishopmill East and Ladyhill
864,S02002289,Houston South
865,S02002238,North Inch
866,S02002138,Muirhouse and Knowetop
867,S02002039,"Gourock Central, Upper East and IRH"
868,S02002089,Elgin Bishopmill West and Newfield
869,S02002290,Houston North
870,S02002239,Central and South Inch
871,S02002139,Craigneuk Wishaw
872,S02002040,"Braeside, Branchton, Lower Larkfield and Ravenscraig"
873,S02002090,Lossiemouth East and Seatown
874,S02002291,Bridge of Weir
875,S02002240,Gannochy and Walnut Grove
876,S02002140,Pather
877,S02002041,"Lower Bow and Larkfield, Fancy Farm, Mallard Bowl"
878,S02002091,Lossiemouth West
879,S02002292,Tweeddale West Area
880,S02002241,Scone
881,S02002141,Wishaw South
882,S02002042,"Gourock East, Greenock West and Lyle Road"
883,S02002092,"Burghead, Roseisle and Laich"
884,S02002293,Peebles North
885,S02002242,"Guildtown, Balbeggie and St Madoes"
886,S02002142,Wishaw North
887,S02002043,Greenock West and Central
888,S02002093,"Findhorn, Kinloss and Pluscarden Valley"
889,S02002294,Peebles South
890,S02002243,Errol and Inchture
891,S02002143,Coltness
892,S02002044,"Bow Farm, Barrs Cottage, Cowdenknowes and Overton"
893,S02002094,Forres Central East and seaward
894,S02002295,Tweeddale East Area
895,S02002244,"Invergowrie, Longforgan and Abernyte"
896,S02002144,Wishaw East
897,S02002045,Greenock Upper Central
898,S02002095,Forres South West and Mannachie
899,S02002296,Earlston Stow and Clovernfords Area
900,S02002245,Coupar Angus and Meigle
901,S02002145,Newmains
902,S02002046,Greenock Town Centre and East Central
903,S02002096,"Rafford, Dallas, Dyke to Dava"
904,S02002297,Galashiels North
905,S02002246,Alyth
906,S02002146,Allanton - Newmains Rural
907,S02002047,Greenock East
908,S02002097,Arran
909,S02002298,Galashiels West
910,S02002247,"Blair Atholl, Strathardle and Glenshee"
911,S02002147,Shotts
912,S02002048,"Port Glasgow Upper, West and Central"
913,S02002098,Springside and Rural
914,S02002299,Galashiels South
915,S02002248,Blairgowrie East (Rattray)
916,S02002148,Stane
917,S02002049,"Port Glasgow Mid, East and Central"
918,S02002099,Irvine Tarryholme
919,S02002300,Langlee
920,S02002249,Blairgowrie West
921,S02002149,Harthill and Salsburgh
922,S02002050,Port Glasgow Upper East
923,S02002100,Dreghorn
924,S02002301,Melrose and Tweedbank Area
925,S02002250,Stanley and Murthly
926,S02002150,Cleland
927,S02002051,Rural South Midlothian
928,S02002101,Irvine Broomlands
929,S02002302,Lauder and Area
930,S02002151,Newarthill
931,S02002251,Luncarty and Dunkeld
932,S02002152,Carfin North
933,S02002052,Penicuik Southeast
934,S02002153,Clydesdale and New Stevenston
935,S02002252,Pitlochry
936,S02002102,Irvine Bourtreehill
937,S02002303,Berwickshire Central
938,S02002053,Penicuik Southwest
939,S02002253,Rannoch and Aberfeldy
940,S02002154,Carfin and Cleekhimin
941,S02002304,Duns
942,S02002103,Irvine Girdle Toll and Staneca
943,S02002054,Penicuik East
944,S02002254,Lochwinnoch
945,S02002155,Motherwell South
946,S02002305,Berwickshire East
947,S02002104,Irvine Perceton and Lawthorn
948,S02002055,Penicuik North
949,S02002255,Renfrewshire Rural South and Howwood
950,S02002156,Ladywell
951,S02002306,Eyemouth
952,S02002105,Irvine Castlepark North
953,S02002056,Pentland
954,S02002256,Renfrewshire Rural North and Langbank
955,S02002157,Motherwell West
956,S02002307,Chirnside and Area
957,S02002106,Irvine Castlepark South
958,S02002057,Roslin and Bilston
959,S02002257,Kilbarchan
960,S02002158,Motherwell North
961,S02002308,Coldstream and Area
962,S02002107,Irvine East
963,S02002058,Straiton
964,S02002258,Johnstone South West
965,S02002159,Forgewood
966,S02002309,Cheviot East
967,S02002108,Irvine Central
968,S02002059,Loanhead
969,S02002186,Coatdyke and Whinhall
970,S02002259,Johnstone North West
971,S02002160,Holytown
972,S02002310,Kelso North
973,S02002109,Irvine Fullarton
974,S02002060,Bonnyrigg South
975,S02002260,Johnstone North East
976,S02002187,Thrashbush
977,S02002161,Milnwood
978,S02002311,Kelso South
979,S02002110,Stevenston Ardeer
980,S02002061,Bonnyrigg North
981,S02002261,Johnstone South East
982,S02002188,Airdrie North
983,S02002162,Orbiston
984,S02002312,Cheviot West
985,S02002111,Saltcoats Central
986,S02002062,Newbattle and Dalhousie
987,S02002262,Elderslie and Phoenix
988,S02002189,Drumgelloch
989,S02002163,Bellshill South
990,S02002313,St Boswells and Newtown Area
991,S02002112,Ardrossan Central
992,S02002063,Eskbank
993,S02002263,Paisley Ferguslie
994,S02002190,Caldercruix and Plains
995,S02002164,Hattonrigg
996,S02002314,Jedburgh
997,S02002113,Ardrossan North West
998,S02002064,Shawfair
999,S02002264,Paisley North West
1000,S02002191,Glenmavis and Greengairs
1001,S02002165,Bellshill Central
1002,S02002315,Denholm and Hermitage
1003,S02002265,Paisley West
1004,S02002192,Gartcosh and Marnock
1005,S02002166,Fallside
1006,S02002114,Ardrossan North East
1007,S02002266,Paisley Foxbar
1008,S02002065,Thornybank
1009,S02002316,Burnfoot
1010,S02002193,Cardowan and Millerston
1011,S02002167,Viewpark
1012,S02002267,Paisley South West
1013,S02002115,Saltcoats North West
1014,S02002066,Dalkeith
1015,S02002317,Hawick Central
1016,S02002194,Stepps
1017,S02002168,Birkenshaw
1018,S02002268,Paisley Glenburn West
1019,S02002116,Saltcoats North East
1020,S02002067,Pathhead and Rural East Midlothian
1021,S02002318,Hawick West End
1022,S02002195,Chryston and Muirhead
1023,S02002169,Kirkwood and Bargeddie
1024,S02002269,Paisley Glenburn East
1025,S02002117,Stevenston North West
1026,S02002068,Easthouses
1027,S02002319,Hawick North
1028,S02002320,Ettrick Yarrow and Liliesleaf Area
1029,S02002321,Selkirk
1030,S02002322,Shetland South
1031,S02002323,Lerwick South
1032,S02002324,Lerwick North
1033,S02002325,Central Shetland
1034,S02002326,East and West Mainland
1035,S02002327,North Mainland
1036,S02002328,North and East Isles
1037,S02002329,Carrick South
1038,S02002330,Girvan Glendoune
1039,S02002331,Girvan Ailsa
1040,S02002332,Maybole
1041,S02002333,Carrick North
1042,S02002334,Coylton
1043,S02002335,Alloway and Doonfoot
1044,S02002386,Fairhill
1045,S02002118,Stevenston Hayocks
1046,S02002196,Moodiesburn West
1047,S02002069,Mayfield
1048,S02002387,Woodhead and Meikle Earnock
1049,S02002270,Paisley South
1050,S02002119,Kilwinning Whitehirst Park and Woodside
1051,S02002170,Kirkshaws
1052,S02002197,Moodiesburn East
1053,S02002070,Newtongrange
1054,S02002388,Little Earnock
1055,S02002271,Paisley South East
1056,S02002120,Kilwinning Pennyburn
1057,S02002171,Dundyvan
1058,S02002198,Westfield
1059,S02002071,North Gorebridge
1060,S02002389,Earnock
1061,S02002272,Paisley Dykebar
1062,S02002121,Kilwinning West and Blacklands
1063,S02002172,Drumpellier and Langloan
1064,S02002199,Condorrat
1065,S02002072,Gorebridge and Middleton
1066,S02002390,Hillhouse
1067,S02002273,Paisley East
1068,S02002122,Kilwinning Central and North
1069,S02002173,Coatbridge West
1070,S02002200,Greenfaulds
1071,S02002073,South Speyside and the Cabrach
1072,S02002391,High Blantyre
1073,S02002274,Paisley Central
1074,S02002123,Dalry East and Rural
1075,S02002174,Townhead
1076,S02002201,Seafar
1077,S02002074,North Speyside
1078,S02002392,Blantyre South and Wheatlands
1079,S02002275,Paisley North East
1080,S02002124,Dalry West
1081,S02002175,Sunnyside and Cliftonville
1082,S02002202,Cumbernauld Central
1083,S02002075,Rural Keith and Strathisla
1084,S02002393,Low Blantyre and Bardykes
1085,S02002276,Paisley Ralston
1086,S02002125,Fairlie and Rural
1087,S02002176,Cliftonville
1088,S02002203,Kildrum
1089,S02002076,Keith and Fife Keith
1090,S02002394,Blantytre North and Coatshill
1091,S02002277,Paisley Gallowhill and Hillington
1092,S02002126,West Kilbride and Seamill
1093,S02002177,Shawhead and Whifflet
1094,S02002204,Abronhill South
1095,S02002077,"Cullen, Portknockie, Findochty, Drybridge and Berryhillock"
1096,S02002395,Burnbank North
1097,S02002278,Paisley North
1098,S02002127,Largs South
1099,S02002178,Greenend and Carnbroe
1100,S02002205,Abronhill North
1101,S02002078,Buckie Central East
1102,S02002396,Burnbank Central and Udston
1103,S02002279,Renfrew West
1104,S02002128,Largs Central and Cumbrae
1105,S02002179,Calderbank and Brownsburn
1106,S02002206,Village and Castlecary
1107,S02002079,Buckie West and Mains of Buckie
1108,S02002397,Burnbank South and Chantinghall
1109,S02002280,Renfrew South
1110,S02002129,Largs North
1111,S02002180,Chapelhall West
1112,S02002207,Carrickstone
1113,S02002080,"Mosstodloch, Portgordon and seaward"
1114,S02002398,Whitehill
1115,S02002281,Renfrew East
1116,S02002130,Skelmorlie and Rural
1117,S02002181,Chapelhall East
1118,S02002208,Balloch West
1119,S02002081,"Fochabers, Aultmore, Clochan and Ordiquish"
1120,S02002399,Bothwell South
1121,S02002400,Bothwell North
1122,S02002401,Uddingston and Gardenside
1123,S02002402,"Halfway, Hallside and Drumsagard"
1124,S02002403,Westburn and Newton
1125,S02002404,Vicarland and Cairns
1126,S02002405,Whitlawburn and Greenlees
1127,S02002406,Cambuslang Central
1128,S02002407,"Burgh, Eastfield and Silverbank"
1129,S02002408,Farme Cross and Gallowflat North
1130,S02002409,Shawfield and Clincarthill
1131,S02002410,Burnhill and Bankhead North
1132,S02002411,Bankhead South
1133,S02002412,Spittal
1134,S02002413,High Crosshill
1135,S02002414,Burnside and Springhall
1136,S02002415,Fernhill and Cathkin
1137,S02002416,Nerston and EK Landward Area
1138,S02002417,Calderwood East
1139,S02002418,Calderwood Central
1140,S02002419,Calderwood West and Nerston
1141,S02002420,St Leonards North
1142,S02002421,St Leonards South
1143,S02002422,East Mains
1144,S02002423,West Mains
1145,S02002424,Stewartfield East
1146,S02002425,Stewartfield West
1147,S02002426,"Thorntonhall, Jackton and Gardenhall"
1148,S02002427,Hairmyres and Westwood West
1149,S02002428,Mossneuk and Newlandsmuir
1150,S02002429,Crosshouse and Lindsayfield
1151,S02002430,Whitehills West
1152,S02002431,Greenhills
1153,S02002432,Westwood South
1154,S02002433,Westwood East
1155,S02002434,The Murray
1156,S02002435,"Birniehill, Kelvin and Whitehills East"
1157,S02002182,Craigneuk Airdrie
1158,S02002209,Balloch East
1159,S02002082,"Heldon West, Fogwatt to Inchberry"
1160,S02002131,Kilbirnie North
1161,S02002183,Petersburn
1162,S02002282,Renfrew North
1163,S02002210,Kilsyth East and Croy
1164,S02002083,"Lhanbryde, Urquhart, Pitgavney and seaward"
1165,S02002132,Kilbirnie South and Longbar
1166,S02002184,Gartlea
1167,S02002283,Erskine East and Inchinnan
1168,S02002211,Kilsyth Bogside
1169,S02002084,Elgin Cathedral to Ashgrove and Pinefield
1170,S02002133,Beith West
1171,S02002185,Cairnhill
1172,S02002284,Erskine Central
1173,S02002212,Balmalloch
1174,S02002085,New Elgin East
1175,S02002134,Beith East and Rural
1176,S02002285,Erskine West
1177,S02002213,"Stromness, Sandwick and Stenness"
1178,S02002135,Overtown
1179,S02002214,West Mainland
1180,S02002215,East Mainland
1181,S02002216,West Kirkwall
1182,S02002217,East Kirkwall
1183,S02002218,Isles
1184,S02002219,"Powmill, Cleish and Scotlandwell"
1185,S02002220,Kinross
1186,S02002221,Milnathort and Crook of Devon
1187,S02002222,"Muthill, Greenloaning and Gleneagles"
1188,S02002223,Auchterarder
1189,S02002224,"Comrie, Gilmerton and St Fillans"
1190,S02002225,Crieff North
1191,S02002226,Crieff South
1192,S02002227,Aberuthven and Almondbank
1193,S02002228,"Glenfarg, Dunning and Rhynd"
1194,S02002229,Bridge of Earn and Abernethy
1195,S02002230,Moncrieffe and Friarton
1196,S02002231,"Viewlands, Craigie and Wellshill"
1197,S02002232,Burghmuir and Oakbank
1198,S02002233,Western Edge
1199,S02002234,Letham
1200,S02002235,"Hillyland, Tulloch and Inveralmond"
1201,S02002436,Blane Valley
1202,S02002437,Balfron and Drymen
1203,S02002438,Kippen and Fintry
1204,S02002439,Cambusbarron
1205,S02002440,Plean and Rural SE
1206,S02002441,Cowie
1207,S02002442,Fallin
1208,S02002443,Bannockburn
1209,S02002444,Hillpark
1210,S02002445,Broomridge
1211,S02002446,Borestone
1212,S02002447,King's Park and Torbrex
1213,S02002448,Braehead
1214,S02002449,City Centre
1215,S02002450,Raploch
1216,S02002451,Cornton
1217,S02002452,Causewayhead
1218,S02002453,Bridge of Allan and University
1219,S02002454,Forth
1220,S02002455,Dunblane East
1221,S02002456,Dunblane West
1222,S02002457,Carse of Stirling
1223,S02002458,Callander and Trossachs
1224,S02002459,Highland
1225,S02002460,IZ01
1226,S02002461,IZ02
1227,S02002462,IZ03
1228,S02002463,IZ04
1229,S02002464,IZ05
1230,S02002465,IZ06
1231,S02002466,IZ07
1232,S02002467,IZ08
1233,S02002468,IZ09
1234,S02002469,IZ10
1235,S02002470,IZ11
1236,S02002471,IZ12
1237,S02002472,IZ13
1238,S02002473,IZ14
1239,S02002474,IZ15
1240,S02002475,IZ16
1241,S02002476,IZ17
1242,S02002477,IZ18
1243,S02002478,Fauldhouse
1244,S02002479,Breich Valley
1245,S02002480,West Calder and Polbeth
1246,S02002481,"Bellsquarry, Adambrae and Kirkton"
1247,S02002482,Bankton and Murieston
1248,S02002483,Dedridge East
1249,S02002484,Mid Calder and Kirknewton
1250,S02002485,East Calder
1251,S02002486,Pumpherston and Uphall Station
1252,S02002487,Craigshill
1253,S02002488,Howden
1254,S02002489,Livingston Village and Eliburn South
1255,S02002490,Ladywell
1256,S02002491,Knightsridge
1257,S02002492,Knightsridge and Deans North
1258,S02002493,Deans
1259,S02002494,Carmondean and Eliburn North
1260,S02002495,Seafield
1261,S02002496,Blackburn
1262,S02002497,Blaeberry Hill and East Whitburn
1263,S02002498,Whitburn Central
1264,S02002499,"Whitburn, Croftmalloch and Greenrigg"
1265,S02002500,Armadale
1266,S02002501,Armadale South
1267,S02002502,"Bathgate, Wester Inch and Inchcross"
1268,S02002503,Bathgate and Boghall
1269,S02002504,Bathgate East
1270,S02002505,Bathgate West
1271,S02002506,"Blackridge, Westfield and Torphichen"
1272,S02002507,Linlithgow South
1273,S02002508,Linlithgow Bridge
1274,S02002509,Linlithgow North
1275,S02002510,"Winchburgh, Bridgend and Philpstoun"
1276,S02002511,Broxburn Kirkhill
1277,S02002512,"Uphall, Dechmont and Ecclesmachan"
1278,S02002513,Broxburn South
1279,S02002514,Broxburn East
